rating,product_type,upc,title
Two,Books,a22124811bfa8350,It's Only the Himalayas
Five,Books,3b1c02bac2a429e6,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
Two,Books,a18a4f574854aced,Libertarianism for Beginners
One,Books,e30f54cea9b38190,Mesaerion: The Best Science Fiction Stories 1800-1849
Three,Books,deda3e61b9514b83,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"
Five,Books,a34ba96d4081e6a4,Rip it Up and Start Again
Five,Books,ce6396b0f23f6ecc,Set Me Free
Four,Books,30a7f60cd76ca58c,Shakespeare's Sonnets
One,Books,feb7cc7701ecf901,Olio
Two,Books,0312262ecafa5a40,"Starving Hearts (Triangular Trade Trilogy, #1)"
Three,Books,e72a5dfc7e9267b2,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"
One,Books,1dfe412b8ac00530,The Black Maria
Four,Books,e10e1e165dc8be4a,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
Four,Books,e00eb4fd7b871a48,Sharp Objects
Four,Books,2597b5a345f45e1b,The Dirty Little Secrets of Getting Your Dream Job
One,Books,f77dbf2323deb740,The Requiem Red
Five,Books,4165285e1663650f,Sapiens: A Brief History of Humankind
One,Books,6957f44c3847a760,Soumission
One,Books,90fa61229261140a,Tipping the Velvet
Three,Books,a897fe39b1053632,A Light in the Attic
rating,product_type,upc,title
Two,Books,a22124811bfa8350,It's Only the Himalayas
Five,Books,a34ba96d4081e6a4,Rip it Up and Start Again
Two,Books,a18a4f574854aced,Libertarianism for Beginners
One,Books,e30f54cea9b38190,Mesaerion: The Best Science Fiction Stories 1800-1849
Five,Books,3b1c02bac2a429e6,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
One,Books,feb7cc7701ecf901,Olio
Five,Books,ce6396b0f23f6ecc,Set Me Free
Four,Books,30a7f60cd76ca58c,Shakespeare's Sonnets
Three,Books,deda3e61b9514b83,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"
Two,Books,0312262ecafa5a40,"Starving Hearts (Triangular Trade Trilogy, #1)"
One,Books,1dfe412b8ac00530,The Black Maria
Five,Books,4165285e1663650f,Sapiens: A Brief History of Humankind
Four,Books,e10e1e165dc8be4a,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
Three,Books,e72a5dfc7e9267b2,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"
Four,Books,2597b5a345f45e1b,The Dirty Little Secrets of Getting Your Dream Job
One,Books,f77dbf2323deb740,The Requiem Red
Four,Books,e00eb4fd7b871a48,Sharp Objects
One,Books,6957f44c3847a760,Soumission
One,Books,90fa61229261140a,Tipping the Velvet
Three,Books,a897fe39b1053632,A Light in the Attic
rating,product_type,upc,title
Two,Books,a22124811bfa8350,It's Only the Himalayas
Two,Books,a18a4f574854aced,Libertarianism for Beginners
Five,Books,ce6396b0f23f6ecc,Set Me Free
One,Books,e30f54cea9b38190,Mesaerion: The Best Science Fiction Stories 1800-1849
Five,Books,3b1c02bac2a429e6,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
Five,Books,a34ba96d4081e6a4,Rip it Up and Start Again
Four,Books,30a7f60cd76ca58c,Shakespeare's Sonnets
One,Books,feb7cc7701ecf901,Olio
Three,Books,deda3e61b9514b83,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"
Two,Books,0312262ecafa5a40,"Starving Hearts (Triangular Trade Trilogy, #1)"
Four,Books,e10e1e165dc8be4a,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
Four,Books,2597b5a345f45e1b,The Dirty Little Secrets of Getting Your Dream Job
One,Books,1dfe412b8ac00530,The Black Maria
One,Books,f77dbf2323deb740,The Requiem Red
Three,Books,e72a5dfc7e9267b2,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"
Five,Books,4165285e1663650f,Sapiens: A Brief History of Humankind
Four,Books,e00eb4fd7b871a48,Sharp Objects
One,Books,6957f44c3847a760,Soumission
One,Books,90fa61229261140a,Tipping the Velvet
Three,Books,a897fe39b1053632,A Light in the Attic
